
"Banco de México"

"Sistemas de pago de bajo valor"
"Número de operaciones tercero a tercero en SPEI"

"Fecha de consulta: 25/07/2026 12:23:09"

""

"Título","Número de operaciones tercero a tercero en SPEI - Mayores a 8 mil y menores a 300 mil"
"Periodo disponible","01/01/2009 - 20/07/2026"
"Periodicidad","Diaria"
"Cifra","Flujos"
"Unidad","Sin Unidad"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SF336087"
17/03/2012,N/E
18/03/2012,N/E
19/03/2012,N/E
20/03/2012,171293
21/03/2012,141665
22/03/2012,158869
23/03/2012,211387
24/03/2012,N/E
25/03/2012,273
26/03/2012,149342
27/03/2012,143806
28/03/2012,157632
29/03/2012,205227
30/03/2012,339424
31/03/2012,N/E
01/04/2012,N/E
02/04/2012,166152
03/04/2012,159815
04/04/2012,212087
05/04/2012,N/E
06/04/2012,N/E
07/04/2012,N/E
08/04/2012,N/E
09/04/2012,155115
10/04/2012,149619
11/04/2012,138095
12/04/2012,163213
13/04/2012,277549
14/04/2012,N/E
15/04/2012,N/E
16/04/2012,176346
17/04/2012,144693
18/04/2012,132749
19/04/2012,144622
20/04/2012,215834
21/04/2012,N/E
22/04/2012,N/E
23/04/2012,153122
24/04/2012,136200
25/04/2012,146455
26/04/2012,173557
27/04/2012,288780
28/04/2012,N/E
29/04/2012,N/E
30/04/2012,290315
01/05/2012,N/E
02/05/2012,159914
03/05/2012,159800
04/05/2012,227177
05/05/2012,N/E
06/05/2012,N/E
07/05/2012,155010
08/05/2012,140553
09/05/2012,153129
10/05/2012,139942
11/05/2012,215240
12/05/2012,N/E
13/05/2012,N/E
14/05/2012,193597
15/05/2012,198652
16/05/2012,146765
17/05/2012,160699
18/05/2012,214869
19/05/2012,N/E
20/05/2012,N/E
21/05/2012,149975
22/05/2012,134654
23/05/2012,135551
24/05/2012,151579
25/05/2012,226824
26/05/2012,N/E
27/05/2012,N/E
28/05/2012,157792
29/05/2012,166517
30/05/2012,211425
31/05/2012,291115
01/06/2012,199406
02/06/2012,N/E
03/06/2012,N/E
04/06/2012,152823
